Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),type
Logistic Regression,0.9977,0.0,0.9977,0.9978,0.9977,0.9971,0.9971,1.38,Serum
SVM - Linear Kernel,0.9977,0.0,0.9977,0.9978,0.9977,0.9971,0.9971,0.018,Serum
Gradient Boosting Classifier,0.9966,0.0,0.9966,0.9967,0.9966,0.9956,0.9956,0.17,Serum
Extra Trees Classifier,0.9955,1.0,0.9955,0.9955,0.9954,0.9941,0.9941,0.062,Serum
Light Gradient Boosting Machine,0.9949,1.0,0.9949,0.995,0.9949,0.9934,0.9934,0.604,Serum
Decision Tree Classifier,0.992,0.995,0.992,0.9922,0.992,0.9897,0.9897,0.73,Serum
Random Forest Classifier,0.9909,1.0,0.9909,0.9912,0.9909,0.9882,0.9883,0.074,Serum
K Neighbors Classifier,0.979,0.9981,0.979,0.9797,0.9789,0.9728,0.973,0.804,Serum
Linear Discriminant Analysis,0.9545,0.0,0.9545,0.9581,0.9545,0.9417,0.9428,0.016,Serum
Ridge Classifier,0.9488,0.0,0.9488,0.9522,0.9489,0.9342,0.9352,0.016,Serum
Naive Bayes,0.9016,0.9851,0.9016,0.9154,0.8946,0.8732,0.8783,0.758,Serum
Ada Boost Classifier,0.7942,0.0,0.7942,0.7477,0.7514,0.7364,0.7544,0.044,Serum
Quadratic Discriminant Analysis,0.5283,0.0,0.5283,0.4683,0.4627,0.4164,0.426,0.024,Serum
Dummy Classifier,0.3343,0.5,0.3343,0.1117,0.1675,0.0,0.0,0.018,Serum
Logistic Regression,0.9982,0.0,0.9982,0.9982,0.9982,0.9977,0.9977,0.016,Moisturizer
Random Forest Classifier,0.995,1.0,0.995,0.9951,0.995,0.9936,0.9936,0.074,Moisturizer
Gradient Boosting Classifier,0.9945,0.0,0.9945,0.9946,0.9945,0.993,0.993,0.184,Moisturizer
Extra Trees Classifier,0.9936,0.9999,0.9936,0.9937,0.9936,0.9919,0.9919,0.066,Moisturizer
SVM - Linear Kernel,0.9923,0.0,0.9923,0.9925,0.9923,0.9901,0.9902,0.022,Moisturizer
Light Gradient Boosting Machine,0.9914,0.9999,0.9914,0.9915,0.9914,0.9889,0.989,0.476,Moisturizer
Decision Tree Classifier,0.9886,0.9931,0.9886,0.9888,0.9886,0.9855,0.9855,0.016,Moisturizer
K Neighbors Classifier,0.9845,0.9992,0.9845,0.9848,0.9845,0.9802,0.9803,0.03,Moisturizer
Ridge Classifier,0.9445,0.0,0.9445,0.9449,0.9433,0.929,0.9295,0.014,Moisturizer
Linear Discriminant Analysis,0.9122,0.0,0.9122,0.9122,0.9094,0.8876,0.8888,0.014,Moisturizer
Naive Bayes,0.89,0.9862,0.89,0.9033,0.8877,0.8588,0.8626,0.014,Moisturizer
Ada Boost Classifier,0.8613,0.0,0.8613,0.8473,0.8471,0.8207,0.8304,0.042,Moisturizer
Quadratic Discriminant Analysis,0.8209,0.0,0.8209,0.8339,0.8123,0.7723,0.7806,0.016,Moisturizer
Dummy Classifier,0.3161,0.5,0.3161,0.0999,0.1518,0.0,0.0,0.014,Moisturizer
Logistic Regression,0.9926,0.0,0.9926,0.9927,0.9926,0.9884,0.9884,0.018,Face Cleanser
Gradient Boosting Classifier,0.9919,0.0,0.9919,0.992,0.9919,0.9872,0.9873,0.114,Face Cleanser
SVM - Linear Kernel,0.9904,0.0,0.9904,0.9906,0.9903,0.9848,0.985,0.02,Face Cleanser
Light Gradient Boosting Machine,0.9882,0.999,0.9882,0.9883,0.9881,0.9814,0.9815,0.386,Face Cleanser
Random Forest Classifier,0.9867,0.9994,0.9867,0.9868,0.9866,0.979,0.9791,0.072,Face Cleanser
Decision Tree Classifier,0.9852,0.9891,0.9852,0.9853,0.9851,0.9768,0.9769,0.012,Face Cleanser
Extra Trees Classifier,0.983,0.9998,0.983,0.9831,0.9828,0.9731,0.9733,0.054,Face Cleanser
K Neighbors Classifier,0.9674,0.9949,0.9674,0.9679,0.9672,0.9487,0.9489,0.028,Face Cleanser
Ridge Classifier,0.9578,0.0,0.9578,0.958,0.9574,0.9334,0.9338,0.012,Face Cleanser
Linear Discriminant Analysis,0.9541,0.0,0.9541,0.9545,0.9536,0.9277,0.9281,0.016,Face Cleanser
Ada Boost Classifier,0.9422,0.0,0.9422,0.9488,0.9435,0.9111,0.913,0.036,Face Cleanser
Naive Bayes,0.9371,0.9913,0.9371,0.9408,0.9362,0.9001,0.9017,0.012,Face Cleanser
Quadratic Discriminant Analysis,0.8919,0.0,0.8919,0.9143,0.8869,0.8302,0.8378,0.014,Face Cleanser
Dummy Classifier,0.5396,0.5,0.5396,0.2912,0.3782,0.0,0.0,0.014,Face Cleanser
Logistic Regression,0.999,0.0,0.999,0.999,0.999,0.9986,0.9986,0.014,Sunscreen
Light Gradient Boosting Machine,0.9971,0.9998,0.9971,0.9971,0.9971,0.9958,0.9958,0.422,Sunscreen
Decision Tree Classifier,0.9961,0.9976,0.9961,0.9962,0.9961,0.9944,0.9944,0.016,Sunscreen
SVM - Linear Kernel,0.9961,0.0,0.9961,0.9962,0.9961,0.9944,0.9944,0.018,Sunscreen
Gradient Boosting Classifier,0.9961,0.0,0.9961,0.9962,0.9961,0.9944,0.9944,0.126,Sunscreen
Extra Trees Classifier,0.9941,1.0,0.9941,0.9943,0.9941,0.9916,0.9916,0.066,Sunscreen
Random Forest Classifier,0.9931,1.0,0.9931,0.9933,0.9931,0.9902,0.9902,0.074,Sunscreen
K Neighbors Classifier,0.9785,0.9933,0.9785,0.9794,0.9785,0.9691,0.9694,0.04,Sunscreen
Ridge Classifier,0.954,0.0,0.954,0.9561,0.954,0.9342,0.9348,0.012,Sunscreen
Linear Discriminant Analysis,0.9491,0.0,0.9491,0.9511,0.949,0.9272,0.9279,0.014,Sunscreen
Naive Bayes,0.9089,0.9883,0.9089,0.9257,0.9088,0.8691,0.8738,0.016,Sunscreen
Ada Boost Classifier,0.7972,0.0,0.7972,0.8355,0.8019,0.7203,0.7314,0.038,Sunscreen
Quadratic Discriminant Analysis,0.6868,0.0,0.6868,0.6834,0.6599,0.581,0.6142,0.014,Sunscreen
Dummy Classifier,0.4447,0.5,0.4447,0.1977,0.2737,0.0,0.0,0.014,Sunscreen
Gradient Boosting Classifier,0.9942,0.0,0.9942,0.9942,0.9942,0.9919,0.9919,0.114,Toner
Logistic Regression,0.9928,0.0,0.9928,0.993,0.9928,0.9898,0.9899,0.018,Toner
Light Gradient Boosting Machine,0.9913,0.9998,0.9913,0.9916,0.9913,0.9878,0.9879,0.256,Toner
SVM - Linear Kernel,0.9899,0.0,0.9899,0.9902,0.9899,0.9858,0.9859,0.02,Toner
Random Forest Classifier,0.9784,0.9996,0.9784,0.979,0.9783,0.9696,0.9698,0.074,Toner
Extra Trees Classifier,0.9769,0.9997,0.9769,0.9777,0.9768,0.9675,0.9678,0.064,Toner
Decision Tree Classifier,0.9697,0.9808,0.9697,0.972,0.9696,0.9575,0.9582,0.012,Toner
